id,yield
0,10.7
1,8.0
2,9.4
3,13.5
4,8.7
5,10.2
6,11.9
7,9.2
8,11.1
9,8.9
10,6.9
11,11.4
12,10.7
13,8.0
14,9.2
15,6.8
16,7.7
17,11.3
18,7.9
19,5.2
20,10.9
21,10.7
22,12.0
23,9.2
24,6.9
25,10.8
26,10.6
27,8.4
28,11.4
29,5.0
30,9.4
31,10.1
32,11.2
33,8.2
34,10.5
35,10.3
36,13.6
37,10.0
38,4.3
39,9.1
40,11.5
41,11.5
42,10.0
43,15.5
44,11.7
45,7.3
46,7.7
47,14.7
48,10.9
49,8.2
50,7.9
51,9.9
52,7.3
53,11.0
54,10.6
55,7.5
56,6.3
57,7.2
58,11.6
59,8.3
60,13.1
61,5.6
62,11.7
63,10.2
64,8.2
65,10.3
66,5.0
67,10.9
68,7.9
69,10.6
70,11.6
71,8.3
72,11.8
73,6.8
74,16.4
75,11.4
76,12.1
77,13.1
78,10.4
79,8.6
80,8.0
81,7.3
82,5.1
83,7.9
84,8.3
85,11.8
86,11.0
87,7.1
88,7.1
89,13.0
90,9.5
91,7.4
92,8.7
93,7.0
94,10.0
95,11.9
96,11.2
97,10.9
98,9.8
99,8.7
100,15.2
101,6.6
102,11.3
103,10.7
104,9.9
105,6.6
106,10.6
107,10.2
108,6.3
109,11.2
110,10.0
111,10.4
112,12.3
113,7.4
114,6.1
115,10.7
116,9.2
117,14.7
118,13.6
119,8.5
120,8.8
121,10.6
122,14.8
123,12.2
124,11.5
125,6.7
126,10.7
127,11.6
128,4.6
129,9.9
130,13.2
131,5.0
132,15.2
133,10.9
134,10.9
135,7.9
136,10.1
137,10.5
138,9.9
139,11.0
140,9.8
141,11.7
142,9.0
143,7.8
144,7.7
145,6.1
146,12.3
147,9.9
148,10.9
149,10.5
150,10.1
151,8.8
152,10.1
153,10.5
154,9.8
155,10.7
156,9.7
157,9.8
158,9.5
159,11.6
160,10.3
161,9.0
162,7.8
163,15.2
164,7.9
165,10.0
166,12.6
167,6.8
168,8.6
169,6.6
170,11.8
171,11.3
172,10.0
173,10.0
174,7.7
175,9.0
176,10.1
177,8.1
178,7.0
179,9.9
180,9.4
181,10.1
182,6.7
183,7.8
184,10.0
185,10.5
186,6.6
187,6.2
188,10.6
189,11.0
190,10.3
191,8.5
192,13.1
193,12.5
194,8.0
195,11.3
196,10.0
197,8.7
198,17.0
199,11.3
200,10.7
201,10.3
202,13.5
203,11.7
204,8.9
205,6.4
206,10.8
207,6.7
208,7.9
209,7.8
210,11.4
211,4.4
212,12.5
213,9.9
214,13.5
215,8.0
216,8.2
217,10.3
218,7.9
219,11.1
220,9.4
221,8.4
222,4.3
223,12.0
224,10.6
225,10.9
226,12.4
227,12.8
228,9.6
229,7.3
230,9.2
231,11.5
232,11.6
233,7.9
234,8.0
235,8.8
236,4.3
237,7.3
238,14.9
239,11.4
240,9.5
241,5.5
242,7.2
243,9.3
244,13.0
245,10.9
246,11.5
247,10.6
248,6.6
249,7.0
250,6.7
251,9.1
252,5.6
253,6.6
254,8.2
255,7.3
256,12.3
257,6.2
258,6.4
259,13.3
260,10.3
261,14.3
262,10.1
263,11.7
264,11.3
265,9.7
266,9.0
267,7.6
268,14.4
269,5.6
270,9.9
271,7.2
272,10.8
273,7.7
274,6.9
275,13.3
276,9.8
277,13.2
278,11.1
279,9.3
280,10.4
281,11.2
282,11.8
283,5.4
284,11.8
285,8.0
286,9.9
287,11.3
288,8.6
289,8.2
290,11.9
291,10.0
292,13.2
293,7.2
294,7.3
295,10.3
296,10.7
297,8.9
298,10.2
299,11.1
300,14.3
301,8.8
302,7.2
303,10.5
304,11.1
305,11.1
306,10.1
307,9.7
308,6.1
309,11.8
310,15.6
311,11.2
312,8.5
313,12.1
314,10.5
315,11.0
316,10.6
317,4.3
318,8.3
319,12.9
320,10.0
321,12.6
322,7.9
323,6.1
324,5.2
325,11.9
326,10.7
327,16.5
328,9.1
329,8.0
330,6.5
331,11.0
332,13.7
333,14.9
334,11.5
335,12.7
336,9.0
337,12.5
338,7.0
339,11.2
340,9.4
341,9.0
342,13.8
343,6.7
344,4.8
345,11.8
346,10.1
347,7.0
348,6.3
349,11.1
350,4.8
351,12.5
352,11.4
353,9.5
354,12.1
355,11.8
356,4.3
357,11.9
358,9.5
359,6.6
360,7.0
361,8.5
362,6.1
363,12.2
364,10.5
365,6.5
366,7.3
367,10.7
368,11.4
369,9.6
370,10.9
371,14.6
372,9.7
373,7.1
374,4.3
375,9.5
376,11.2
377,10.5
378,11.3
379,10.8
380,11.1
381,11.1
382,9.8
383,10.2
384,9.4
385,9.3
386,12.5
387,10.6
388,11.0
389,7.3
390,6.1
391,10.6
392,6.7
393,10.8
394,10.7
395,11.7
396,5.5
397,10.6
398,10.2
399,6.6
400,8.9
401,8.1
402,8.2
403,8.7
404,10.2
405,10.1
406,7.6
407,10.8
408,9.8
409,8.4
410,9.3
411,6.3
412,9.4
413,10.3
414,6.3
415,10.5
416,6.9
417,9.4
418,15.1
419,14.4
420,8.9
421,8.3
422,11.2
423,5.6
424,7.0
425,9.2
426,12.1
427,11.2
428,11.6
429,7.3
430,10.3
431,9.8
432,9.1
433,16.6
434,7.8
435,9.7
436,10.5
437,14.1
438,10.6
439,16.4
440,14.0
441,12.0
442,12.3
443,9.9
444,8.9
445,14.8
446,7.9
447,7.5
448,11.0
449,9.9
450,10.4
451,7.0
452,10.2
453,10.9
454,9.6
455,9.9
456,11.0
457,9.2
458,5.6
459,13.3
460,6.6
461,4.0
462,9.6
463,10.4
464,12.3
465,10.2
466,9.8
467,8.7
468,11.6
469,9.4
470,8.6
471,8.7
472,11.2
473,7.6
474,7.3
475,11.5
476,15.5
477,7.9
478,9.8
479,6.5
480,10.0
481,13.3
482,6.1
483,11.8
484,11.5
485,9.8
486,10.4
487,10.1
488,11.1
489,10.6
490,10.3
491,7.0
492,12.1
493,11.7
494,9.5
495,4.6
496,10.2
497,11.9
498,12.0
499,4.8
500,16.5
501,6.0
502,15.7
503,9.7
504,10.6
505,7.5
506,10.7
507,10.6
508,7.0
509,10.5
510,15.0
511,10.9
512,11.8
513,10.9
514,9.4
515,5.7
516,11.5
517,12.7
518,10.3
519,14.7
520,9.6
521,11.7
522,5.6
523,7.8
524,10.0
525,4.3
526,6.3
527,8.1
528,10.5
529,10.3
530,10.5
531,10.2
532,5.5
533,15.2
534,9.8
535,10.1
536,15.6
537,7.1
538,9.3
539,10.1
540,8.7
541,12.9
542,7.2
543,9.4
544,5.7
545,7.5
546,9.1
547,4.9
548,8.4
549,9.4
550,9.6
551,10.3
552,9.4
553,10.3
554,8.9
555,10.3
556,10.1
557,17.9
558,11.2
559,9.3
560,11.6
561,10.6
562,12.4
563,9.5
564,10.3
565,9.8
566,7.5
567,6.7
568,6.9
569,7.6
570,14.6
571,7.8
572,10.6
573,8.3
574,6.4
575,11.4
576,13.5
577,8.6
578,10.9
579,8.7
580,10.4
581,7.3
582,10.0
583,9.9
584,6.3
585,11.5
586,8.0
587,8.3
588,14.4
589,7.9
590,8.5
591,11.2
592,14.6
593,10.1
594,9.9
595,9.8
596,7.0
597,8.1
598,4.4
599,8.9
600,11.5
601,12.2
602,10.9
